11	11	3.00	0.000	0.000	3.003	0.000	0.000	0.69	0	-87.6803	38.3521	0	0	0	0	Owensville North Consol.	25	440562	4245099	0.69	9.34	39.10	3.00	1.94	0.87
12	12	2.58	0.000	0.000	2.577	0.000	0.000	9.36	0	-88.1800	38.0052	0	0	0	0	Storms Consol.	15	396408	4207044	9.36	24.00	64.29	2.58	1.76	0.94
13	13	2.83	0.000	0.000	2.833	0.000	0.000	2.90	0	-88.4333	38.1714	0	0	0	0	Bungay Consol.	34	374451	4225808	2.90	12.95	46.65	2.83	1.84	0.84
14	14	1.95	0.000	0.000	1.954	0.000	0.000	-5.04	0	-88.1194	37.8092	0	0	0	0	Inman East Consol.	41	401468	4185233	-5.04	4.20	27.65	1.95	1.36	0.77
15	15	2.18	0.000	0.000	2.178	0.000	0.000	-3.90	0	-88.3087	38.3146	0	0	0	0	Barnhill	26	385589	4241533	-3.90	1.98	22.90	2.18	1.40	0.61
16	16	1.60	0.000	0.000	1.602	0.000	0.000	-14.73	0	-87.6882	38.3968	0	0	0	0	Mt. Carmel Consol.	24	439909	4250066	-14.73	-9.51	4.25	1.60	1.11	0.61
17	17	1.33	0.000	0.000	1.327	0.000	0.000	-15.73	0	-88.1597	37.8547	0	0	0	0	Inman West Consol.	28	397981	4190324	-15.73	-13.25	-6.42	1.33	0.90	0.48
18	18	1.46	0.000	0.000	1.461	0.000	0.000	-29.68	0	-88.1123	38.5287	0	0	0	0	Maple Grove Consol.	42	403048	4265069	-29.68	-38.27	-68.61	1.46	0.94	0.41
19	19	1.16	0.000	0.000	1.157	0.000	0.000	-12.82	0	-87.6800	38.2489	0	0	0	0	Owensville Consol.	33	440505	4233651	-12.82	-6.62	9.50	1.16	0.80	0.45
20	20	1.44	0.000	0.000	1.439	0.000	0.000	-13.16	0	-88.1144	37.9769	0	0	0	0	Concord Consol.	40	402126	4203838	-13.16	-9.48	2.28	1.44	0.94	0.45
21	21	1.27	0.000	0.000	1.272	0.000	0.000	0.15	0	-88.5060	38.4381	0	0	0	0	Johnsonville South	7	368561	4255497	0.15	8.50	38.92	1.27	0.81	0.35
22	22	0.95	0.000	0.000	0.945	0.000	0.000	8.68	0	-88.1410	38.1801	0	0	0	0	Centerville East	13	400069	4226413	8.68	22.66	61.03	0.95	0.64	0.34
23	23	0.94	0.000	0.000	0.943	0.000	0.000	14.79	0	-88.3160	37.8668	0	0	0	0	Omaha	20	384252	4191855	14.79	29.93	78.64	0.94	0.62	0.29
24	24	1.15	0.000	0.000	1.150	0.000	0.000	-11.30	0	-88.2242	38.3701	0	0	0	0	Golden Gate North Consol.	9	393058	4247588	-11.30	-9.64	-3.82	1.15	0.74	0.33
25	25	0.98	0.000	0.000	0.976	0.000	0.000	-9.49	0	-88.1183	38.1595	0	0	0	0	Sumpter East	37	402032	4224100	-9.49	-5.23	9.34	0.98	0.63	0.29
26	26	0.95	0.000	0.000	0.951	0.000	0.000	-13.28	0	-88.6432	38.4029	0	0	0	0	Keenville	18	356524	4251796	-13.28	-12.63	-10.30	0.95	0.61	0.27
27	27	0.59	0.000	0.000	0.594	0.000	0.000	19.89	0	-88.0871	37.8211	0	0	0	0	Inman East	1	404325	4186526	19.89	39.97	90.71	0.59	0.41	0.24
28	28	0.76	0.000	0.000	0.759	0.000	0.000	-18.19	0	-88.0011	38.3159	0	0	0	0	Albion East	32	412481	4241336	-18.19	-16.78	-12.32	0.76	0.50	0.24
29	29	0.58	0.000	0.000	0.584	0.000	0.000	8.63	0	-87.9995	37.8104	0	0	0	0	College Consol.	11	412019	4185249	8.63	22.44	64.00	0.58	0.39	0.19
30	30	0.49	0.000	0.000	0.495	0.000	0.000	6.47	0	-88.0860	38.3081	0	0	0	0	Ellery East	2	405047	4240559	6.47	17.89	57.52	0.49	0.32	0.14
31	31	0.32	0.000	0.000	0.318	0.000	0.000	-5.94	0	-87.8186	38.6889	0	0	0	0	Lawrence West	35	428811	4282575	-5.94	2.59	27.77	0.32	0.21	0.11
32	32	0.38	0.000	0.000	0.379	0.000	0.000	-4.10	0	-88.5562	38.2820	0	0	0	0	Mayberry	14	363888	4238250	-4.10	1.45	22.22	0.38	0.24	0.10
33	33	0.31	0.000	0.000	0.305	0.000	0.000	-37.69	0	-88.0184	38.4197	0	0	0	0	Bone Gap Consol.	17	411101	4252879	-37.69	-46.62	-74.16	0.31	0.20	0.10
34	34	0.28	0.000	0.000	0.283	0.000	0.000	6.64	0	-88.0572	37.8604	0	0	0	0	West Hovey	10	407006	4190855	6.64	18.70	53.07	0.28	0.19	0.10
35	35	0.27	0.000	0.000	0.267	0.000	0.000	15.65	0	-87.9844	38.0302	0	0	0	0	Welborn North Consol.	5	413609	4209618	15.65	34.35	80.28	0.27	0.19	0.11
36	36	0.27	0.000	0.000	0.272	0.000	0.000	-12.91	0	-87.8100	38.6230	0	0	0	0	Ruark West Consol.	22	429490	4275251	-12.91	-6.82	9.13	0.27	0.19	0.10
37	37	0.22	0.000	0.000	0.215	0.000	0.000	0.77	0	-87.7814	37.8630	0	0	0	0	Smith Mills North	31	431270	4190899	0.77	12.89	45.64	0.22	0.15	0.08
38	38	0.18	0.000	0.000	0.177	0.000	0.000	12.56	0	-88.6571	38.4940	0	0	0	0	Orchardville Consol.	36	355484	4261928	12.56	25.04	66.63	0.18	0.12	0.05
39	39	0.17	0.000	0.000	0.169	0.000	0.000	6.73	0	-87.9057	37.7252	0	0	0	0	Wathen Consol	39	420190	4175706	6.73	21.45	68.53	0.17	0.11	0.05
40	40	0.15	0.000	0.000	0.154	0.000	0.000	2.73	0	-87.8230	38.0675	0	0	0	0	Oliver North	16	427806	4213620	2.73	13.92	45.79	0.15	0.10	0.05
41	41	0.11	0.000	0.000	0.108	0.000	0.000	9.40	0	-88.1687	38.1435	0	0	0	0	Sumpter	30	397587	4222385	9.40	25.46	64.91	0.11	0.08	0.04
42	42	0.09	0.000	0.000	0.095	0.000	0.000	11.33	0	-87.8648	38.1473	0	0	0	0	Roger East	38	424227	4222514	11.33	28.21	69.66	0.09	0.07	0.04
